Container No,Pasted Customer Name,Master Sheet Current Status,Master Sheet Customer Name,Master Sheet Order No
CICU8118167,AAK INDIA PVT LTD,LEASE,AAK INDIA PVT LTD,
CICU8118070,AAK INDIA PVT LTD,LEASE,AAK INDIA PVT LTD,
TITU3530487,ITC LTD -Adya Dairy,LEASE,ITC LTD -Adya Dairy,
TITU8258978,DSV SOLUTIONS PRIVATE LIMITED,LEASE,DSV SOLUTIONS PRIVATE LIMITED,
TITU7251080,Apitoria pharma unit 04,LEASE,Apitoria pharma unit 04,
HDMU4698329,Avenue Supermarts LTD-Dmart,LEASE,Avenue Supermarts LTD-Dmart,
TITU9230980,Cipla Goa,LEASE,Cipla Goa,
TITU9231009,Cipla Goa,LEASE,Cipla Goa,
TRIU6619090,Choice Trading Corporation Pvt.Ltd,LEASE,Choice Trading Corporation Pvt.Ltd,
TRIU6680016,Choice Trading Corporation Pvt.Ltd,LEASE,Choice Trading Corporation Pvt.Ltd,
TITU9930074,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,
TITU9930114,Dr Reddy - Biotechnology Division,LEASE,Dr Reddy - Biotechnology Division,
CXRU1033616,Dr Reddy CTO 6,LEASE,Dr Reddy CTO 6,
TRIU6632949,Dr Reddy CTO 6,LEASE,Dr Reddy CTO 6,OR453
TRIU6632949,Dr Reddy CTO 6,LEASE,63IDEAS INFOLABS PRIVATE LIMITED,OR453
TRIU6632949,Dr Reddy CTO 6,LEASE,Bengaluru Co.op. Milk  Union Ltd.(BAMUL),OR453
PCIU6003244,ITC Aqua Business,LEASE,ITC Aqua Business,
GESU9440129,GCMMF Ltd.,LEASE,GCMMF Ltd.,
CXRU1056669,GCMMF Ltd.,LEASE,GCMMF Ltd.,
KKFU6994964,Ajinomoto Bio-Pharma Services India Pvt Ltd,LEASE,Ajinomoto Bio-Pharma Services India Pvt Ltd,
KKFU6712079,Ajinomoto Bio-Pharma Services India Pvt Ltd,LEASE,Ajinomoto Bio-Pharma Services India Pvt Ltd,
TDRU5800414,Biocon Ltd,LEASE,Biocon Ltd,
SUDU6218004,Hetero Labs Ltd - SEZ (Unit-V),LEASE,Hetero Labs Ltd - SEZ (Unit-V),
PCIU6016370,Hetero Labs Ltd - unit 3 (EOU),LEASE,Hetero Labs Ltd - unit 3 (EOU),
APRU5091041,Hetero Labs Ltd - unit 3 (EOU),LEASE,Hetero Labs Ltd - unit 3 (EOU),
CXRU1026520,Hetero Labs Ltd - unit 3 (EOU),LEASE,Hetero Labs Ltd - unit 3 (EOU),
CXRU1030427,Hetero Labs Ltd - unit 3 (EOU),LEASE,Hetero Labs Ltd - unit 3 (EOU),
NYKU8369843,ITC Ltd -Ranjangaon,LEASE,ITC Ltd -Ranjangaon,
EISU9868128,ITC Ltd -Ranjangaon,LEASE,ITC Ltd -Ranjangaon,
EGHU1007430,Newly Weds Foods India Pvt.Ltd,LEASE,Newly Weds Foods India Pvt.Ltd,
TITU5297081,Newly Weds Foods India Pvt.Ltd,LEASE,Newly Weds Foods India Pvt.Ltd,
MYRU4502299,PI Industries Limited,LEASE,PI Industries Limited,
MYRU4501435,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
NYKU7931452,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
CICU1799135,Qwik Supply Chain Pvt Ltd,LEASE,Qwik Supply Chain Pvt Ltd,
